RollLongRight,RollLongTrd,RollShortRight,RollShortTrd,rollret,theRet,ticker
982,2030,890,1968,1.76552127,0.02484814,KTOS
986,2035,892,1973,1.8512371,0.08571583,KTP
989,2040,892,1973,1.90479514,0.05355804,KTWO
993,2050,894,1975,1.74286425,-0.16193089,KYN
993,2067,897,1984,1.7559156,0.01305135,LABL
995,2072,897,1984,1.80646272,0.05054712,LAD
997,2075,899,1989,1.82051371,0.01405099,LBAI
997,2075,899,1989,1.82051371,0.0,LBTYB
997,2076,903,1994,1.8781992,0.05768549,LDL
998,2081,905,1997,1.88651322,0.00831402,LDR
999,2083,908,2001,1.89875704,0.01224382,LEO
1001,2085,911,2005,1.92944033,0.03068329,LPT
1008,2092,913,2009,2.0505616,0.12112127,LTXB
1010,2098,916,2015,1.98409827,-0.06646333,LUB
1010,2106,923,2024,1.86017908,-0.12391919,LWAY
1011,2109,929,2036,1.86641144,0.00623236,LXP
1018,2120,933,2043,2.03129105,0.16487961,LYTS
1022,2128,936,2048,2.03081316,-0.00047789,M
1022,2128,937,2051,2.04518905,0.01437589,MAB
1022,2131,939,2055,2.04296337,-0.00222568,MAIN
1024,2134,943,2063,2.05779221,0.01482884,MAS
1024,2135,945,2067,2.20573327,0.14794106,MBII
1025,2137,949,2072,2.2434623,0.03772903,MBVT
1029,2148,950,2075,2.23003219,-0.01343011,MCA
1029,2148,956,2082,2.24683872,0.01680653,MCN
1030,2155,957,2095,2.20041772,-0.046421,MET
1033,2163,959,2100,2.15240501,-0.04801271,MFCB
1035,2165,960,2107,2.04703207,-0.10537294,MFIN
1043,2186,961,2116,2.07022127,0.0231892,MFO
1047,2195,962,2118,2.07764352,0.00742225,MFT
1048,2196,967,2128,2.01527081,-0.06237271,MG
1054,2205,967,2134,1.98116057,-0.03411024,MGLN
1057,2208,967,2134,2.00113644,0.01997587,MGR
1059,2215,968,2135,1.97405834,-0.0270781,MHD
1060,2218,971,2140,1.97179494,-0.0022634,MHF
1061,2221,973,2145,1.93647979,-0.03531515,MHK
1065,2231,974,2147,1.93891837,0.00243858,MHN
1066,2232,978,2153,1.95857324,0.01965487,MIC
1071,2239,978,2154,1.94064492,-0.01792832,MITT
1071,2240,978,2157,1.93917325,-0.00147167,MIW
1073,2245,979,2158,1.94856231,0.00938906,MIY
1075,2248,983,2164,1.97647935,0.02791704,MKL
1079,2254,1006,2227,1.54488683,-0.43159252,MKTX
1081,2261,1007,2230,1.49522137,-0.04966546,MMI
1088,2274,1007,2230,1.52513992,0.02991855,MMT
1090,2278,1010,2237,1.529659,0.00451908,MNP
1092,2284,1016,2247,1.46951927,-0.06013973,MOD
1094,2291,1019,2250,1.44123318,-0.02828609,MON
1097,2296,1022,2255,1.47509719,0.03386401,MOS
1101,2303,1022,2256,1.46507991,-0.01001728,MPA
1104,2312,1026,2261,1.47014369,0.00506378,MPV
1109,2329,1027,2269,1.52978555,0.05964186,MRLN
1110,2330,1030,2273,1.56747404,0.03768849,MSD
1115,2341,1031,2274,1.56632436,-0.00114968,MSM
1116,2342,1033,2276,1.60419558,0.03787122,MTGE
1120,2348,1034,2278,1.64375069,0.03955511,MUA
1123,2356,1034,2279,1.61994004,-0.02381065,MUC
1126,2361,1035,2280,1.61225988,-0.00768016,MUE
1130,2368,1037,2285,1.61554279,0.00328291,MUH
1132,2376,1039,2291,1.59004406,-0.02549873,MUI
1135,2380,1040,2293,1.60438028,0.01433622,MUJ
1141,2390,1042,2296,1.61782136,0.01344108,MUS
1148,2405,1043,2300,1.61455481,-0.00326655,MVF
1151,2409,1043,2302,1.63262624,0.01807143,MVT
1153,2411,1048,2312,1.62715237,-0.00547387,MYC
1156,2417,1051,2317,1.65933551,0.03218314,MYE
1164,2429,1051,2319,1.67982761,0.0204921,MYF
1168,2435,1053,2325,1.6827445,0.00291689,MYJ
1172,2440,1053,2327,1.68849808,0.00575358,MYN
1173,2443,1056,2330,1.70571458,0.0172165,MZA
1178,2454,1057,2337,1.69407246,-0.01164212,MZF
1180,2456,1059,2341,1.68937653,-0.00469593,NAC
1182,2461,1060,2342,1.69603632,0.00665979,NAD
1188,2470,1060,2346,1.69023468,-0.00580164,NAN
1190,2474,1061,2350,1.54512385,-0.14511083,NAV
1191,2475,1063,2353,1.55478507,0.00966122,NBB
1193,2484,1067,2359,1.556613,0.00182793,NBO
1196,2489,1071,2364,1.62482735,0.06821435,NC
1196,2491,1071,2364,1.61479225,-0.0100351,NCB
1197,2494,1071,2364,1.66765197,0.05285972,NEFF
1198,2497,1074,2368,1.65651607,-0.0111359,NEV
1202,2505,1075,2369,1.8683178,0.21180173,NEWS
1210,2517,1076,2370,1.920017,0.0516992,NFBK
1212,2523,1078,2373,1.96325336,0.04323636,NGS
1221,2533,1078,2374,2.03612924,0.07287588,NHI
1227,2551,1078,2375,1.93443041,-0.10169883,NJR
1227,2552,1078,2376,1.92595285,-0.00847756,NJV
1228,2553,1080,2379,1.93896978,0.01301693,NKG
1228,2556,1083,2386,1.91734263,-0.02162715,NKX
1232,2560,1083,2387,1.93490221,0.01755958,NLY
1234,2562,1084,2393,1.92593995,-0.00896226,NMFC
1243,2580,1084,2393,1.93591048,0.00997053,NMO
1245,2584,1086,2397,1.93598851,7.803e-05,NMY
1250,2590,1087,2406,1.86977674,-0.06621177,NNI
1252,2592,1089,2410,1.88861974,0.018843,NNN
1255,2600,1093,2416,1.8884059,-0.00021384,NNY
1260,2612,1095,2421,1.88390432,-0.00450158,NPF
1266,2624,1095,2423,1.88521854,0.00131422,NPI
1266,2625,1095,2424,1.86865639,-0.01656215,NPN
1271,2631,1098,2430,1.87223501,0.00357862,NPP
1275,2636,1098,2433,1.87256367,0.00032866,NPV
1276,2639,1098,2435,1.86755475,-0.00500892,NQM
1281,2650,1101,2439,1.88582528,0.01827053,NQP
1281,2652,1103,2447,1.87707948,-0.0087458,NQS
1285,2660,1103,2448,1.86420799,-0.01287149,NRIM
1288,2665,1103,2448,1.86564645,0.00143846,NRK
1289,2666,1103,2448,1.91596854,0.05032209,NSA
1290,2667,1103,2448,1.92409867,0.00813013,NSAT
1290,2668,1109,2455,2.04149257,0.1173939,NSPH
1294,2681,1113,2460,1.99558632,-0.04590625,NTAP
1294,2684,1115,2463,1.99595844,0.00037212,NTC
1298,2692,1117,2468,1.90602007,-0.08993837,NTG
1298,2692,1117,2468,1.90602007,0.0,NTK
1303,2704,1121,2473,1.90081379,-0.00520628,NTRS
1308,2710,1122,2475,1.93125042,0.03043663,NTT
1308,2711,1126,2483,1.92289529,-0.00835513,NTWK
